;Distance [m];Latitude;Longitude;IRI(1);IRI(17);AVG IRI
32;320.0;56.125416603999994;8.884612354;1.118075146;1.256715271;1.1873952085
33;330.0;56.125452438;8.884463737;0.799758003;0.868891089;0.834324546
34;340.0;56.125488604;8.884315775;0.800099592;0.878921031;0.8395103115
35;350.0;56.125525101;8.884168075;0.923403478;0.845292468;0.884347973
36;360.0;56.125561807;8.884020522;0.7318380290000001;0.947445289;0.839641659
37;370.0;56.125598863;8.883873272;1.022515606;0.797793938;0.9101547720000001
38;380.0;56.125636021999995;8.883727956;1.524869269;0.691027622;1.1079484455
39;390.0;56.125674188999994;8.883581878;0.813995529;0.831511797;0.8227536630000001
40;400.0;56.125712803999996;8.883436179;1.407527245;1.575532366;1.4915298055
41;410.0;56.125751517;8.883290803;1.574878957;2.049229284;1.8120541205
42;420.0;56.12579053899999;8.883145746;1.985915405;1.61293052;1.7994229625
43;430.0;56.125830088;8.883000669;0.657289172;1.3454565859999998;1.0013728789999998
44;440.0;56.125870254;8.882855532;0.901845549;1.26865674;1.0852511445
45;450.0;56.12591079;8.882710723999999;0.8808769890000001;0.7148506179999999;0.7978638035000001
46;460.0;56.12595088;8.882566251;0.866782644;0.9221786790000001;0.8944806615
47;470.0;56.1259908;8.882423503;0.621312694;0.630996078;0.6261543860000001
48;480.0;56.126031636;8.882279777;0.42492672;1.0315799940000001;0.728253357
49;490.0;56.126073112;8.882136694;0.7846409209999999;0.8397039829999999;0.812172452
50;500.0;56.126115005;8.881994004;1.208469161;1.768264254;1.4883667075
51;510.0;56.126157648;8.881851318999999;1.4491810619999999;1.811159734;1.630170398
52;520.0;56.126200733999994;8.881709065;0.924277369;1.243443019;1.083860194
53;530.0;56.126243992;8.881567317;0.618409749;1.019371947;0.818890848
54;540.0;56.12628749;8.881426245;1.23080565;0.860670536;1.045738093
55;550.0;56.126331474;8.881285656000001;0.962108409;1.150690589;1.056399499
56;560.0;56.126375823000004;8.881144772999999;1.114780277;1.034480647;1.074630462
57;570.0;56.126420505;8.881006126;1.590351625;1.0580941240000001;1.3242228745000002
58;580.0;56.126466571;8.880867245;0.680971634;0.541640196;0.611305915
59;590.0;56.126513402;8.880729445;1.917934984;1.945010981;1.9314729824999999
60;600.0;56.126560934;8.880592376000001;0.9494699940000001;0.540413527;0.7449417605
61;610.0;56.126609658;8.880456431;0.646245768;0.728015272;0.68713052
62;620.0;56.126658791000004;8.880320959;1.063159137;0.95191295;1.0075360435
63;630.0;56.126708037;8.88018563;0.8612826379999999;0.559919707;0.7106011725
64;640.0;56.126757502;8.880050642999999;1.0230337520000001;1.106966948;1.06500035
65;650.0;56.126807619;8.879916413;0.395464579;0.514288861;0.45487672
66;660.0;56.126857818000005;8.879784665;0.859985245;0.754991967;0.8074886059999999
67;670.0;56.126908876;8.879652019;0.9673113940000001;0.9055617990000001;0.9364365965000001
68;680.0;56.126960851999996;8.879519787000001;1.4120586380000002;1.222346773;1.3172027055000002
69;690.0;56.127013757;8.879388228;0.998569651;0.940720578;0.9696451145
70;700.0;56.127067142;8.879257277999999;1.168077745;1.257461048;1.2127693965
71;710.0;56.127120508999994;8.879126749;1.652235216;0.913475316;1.2828552659999999
72;720.0;56.127174323;8.878996815;0.752728501;0.7512893820000001;0.7520089415
73;730.0;56.127228266;8.878867596000001;1.043597389;0.7979198940000001;0.9207586415000001
74;740.0;56.127282558999994;8.87873932;1.235887111;1.44374776;1.3398174355
75;750.0;56.127336918000005;8.878613033999999;0.921618732;0.901638145;0.9116284385
76;760.0;56.127392971999996;8.878486383;0.7078322309999999;0.654114324;0.6809732774999999
77;770.0;56.127449543999994;8.87836048;0.931074222;0.693382891;0.8122285565
78;780.0;56.127506267;8.878235004;1.3009246429999999;0.575072328;0.9379984854999999
79;790.0;56.127563248;8.878110129;1.140427137;0.888708705;1.014567921
80;800.0;56.127620623;8.877985912;1.090779178;0.918776797;1.0047779875
81;810.0;56.127678061000005;8.877862763;0.946231376;0.7507615129999999;0.8484964445
82;820.0;56.12773593399999;8.877740267;0.983391857;0.916282055;0.949836956
83;830.0;56.127794804;8.877618569;0.8521829540000001;0.988860987;0.9205219705000001
84;840.0;56.127854452;8.877497771;0.955735062;0.742637952;0.849186507
85;850.0;56.127913976;8.877378746;0.940245505;1.063218124;1.0017318145
86;860.0;56.127974677;8.87725879;0.9456065840000001;1.036314919;0.9909607515000001
87;870.0;56.128035958999995;8.877139789;0.740165126;0.860526034;0.80034558
88;880.0;56.128097346000004;8.877022337;0.95893554;0.985444311;0.9721899254999999
89;890.0;56.128159052;8.876906216;1.000946842;0.96143289;0.981189866
90;900.0;56.128221413;8.876790887;1.320128198;1.195057571;1.2575928845
91;910.0;56.12828489899999;8.876676343;1.7184334630000002;0.8701707679999999;1.2943021155
92;920.0;56.128348867;8.876562671;0.8126655279999999;1.030316662;0.9214910949999999
93;930.0;56.128413478999995;8.876449722;2.084722943;1.9619391609999999;2.023331052
94;940.0;56.128477943;8.876338732;1.40276755;1.789609396;1.596188473
95;950.0;56.128543388000004;8.876227169;1.469675499;1.502197316;1.4859364075000001
96;960.0;56.128609016999995;8.876116009;1.9043895659999999;1.805605712;1.854997639
97;970.0;56.128675005;8.876005536000001;1.524302824;1.724938783;1.6246208035
98;980.0;56.128741635;8.87589522;1.7753268830000002;1.6504380730000001;1.712882478
99;990.0;56.12880882100001;8.875785683;0.816249577;0.717544595;0.766897086
100;1000.0;56.12887639;8.875677138;1.06659566;1.068289932;1.067442796
101;1010.0;56.128944088000004;8.875569906;0.92688207;0.597227489;0.7620547795
102;1020.0;56.12901218;8.875463479;1.0228319909999999;1.20228415;1.1125580705
103;1030.0;56.129080963999996;8.875357207;1.328744972;1.4890484519999998;1.4088967119999998
104;1040.0;56.129149545;8.875252717;0.9909169459999999;1.036688373;1.0138026595
105;1050.0;56.129219097;8.875148048;1.703650836;1.203657301;1.4536540685000001
106;1060.0;56.129288775;8.875044702;1.7221574469999998;1.512130989;1.617144218
107;1070.0;56.129358961;8.874942465;3.1534359839999997;1.5370774130000002;2.3452566985
108;1080.0;56.129430326000005;8.874841303;2.3133567619999997;1.134961543;1.7241591525
109;1090.0;56.129502303;8.874741236;1.420924606;0.8650394659999999;1.142982036
110;1100.0;56.129574539;8.874641931000001;0.8508230459999999;0.787132307;0.8189776765
111;1110.0;56.129646918;8.874543561;1.116028066;0.9178213829999999;1.0169247245
112;1120.0;56.129719658999996;8.874446057;0.918067284;0.944180136;0.93112371
113;1130.0;56.129792301;8.874350657;1.8609829169999998;1.077224786;1.4691038515
114;1140.0;56.129866141;8.874255473;1.388083142;0.566022319;0.9770527305
115;1150.0;56.12994029;8.874161344;1.801359177;0.835455396;1.3184072864999998
116;1160.0;56.130014603;8.874068451;1.59816689;0.994000717;1.2960838035
117;1170.0;56.130089282;8.873976508;1.705544544;1.04954734;1.377545942
118;1180.0;56.13016357;8.87388505;1.387671465;0.596620035;0.9921457499999999
119;1190.0;56.130238098;8.873794581;1.2138978409999999;0.575631784;0.8947648125
120;1200.0;56.130313181999995;8.873705067000001;2.367202621;2.779343195;2.573272908
121;1210.0;56.130388929;8.873616708;0.791848398;0.9985262420000001;0.89518732
122;1220.0;56.130464319;8.873530341;0.417722637;0.56948992;0.4936062785
123;1230.0;56.130540693;8.873444163;0.55238491;0.5450913079999999;0.548738109
124;1240.0;56.130617363;8.873359003;0.590141567;0.718320417;0.654230992
125;1250.0;56.1306943;8.873274736;0.535222155;0.494843869;0.515033012
126;1260.0;56.130771519;8.873191704;0.8158992979999999;0.708072712;0.761986005
127;1270.0;56.130849067;8.873109664;1.235428847;0.981593382;1.1085111145000002
128;1280.0;56.130926875;8.87302757;0.7355138059999999;1.214434744;0.974974275
129;1290.0;56.131004964;8.872946383;0.711530074;0.716500527;0.7140153005000001
130;1300.0;56.131083291;8.872866457999999;0.579931133;0.739305894;0.6596185135
131;1310.0;56.131161856000006;8.872788184;0.61025864;0.823372317;0.7168154785
132;1320.0;56.13123995;8.872711724;0.507147407;0.720875673;0.61401154
133;1330.0;56.131318942;8.872634811000001;0.66537179;0.879812521;0.7725921554999999
134;1340.0;56.13139829399999;8.872559212;0.41779851799999995;0.635331581;0.5265650494999999
135;1350.0;56.131478223;8.872484615;0.414100807;0.8075687779999999;0.6108347925
136;1360.0;56.131558729;8.87241118;0.85014713;0.973985505;0.9120663175
137;1370.0;56.131639548;8.872338852;0.7323160470000001;1.166111288;0.9492136675
138;1380.0;56.131720521000005;8.872268099;0.498451915;0.680436328;0.5894441215
139;1390.0;56.131801803;8.872198615;0.694797531;0.680281085;0.687539308
140;1400.0;56.131883413999994;8.872129879;0.40729701700000004;0.835401575;0.621349296
141;1410.0;56.131964479;8.872062604;0.436520773;0.517473417;0.476997095
142;1420.0;56.132046583000005;8.871995389;0.657609167;0.614786712;0.6361979395
143;1430.0;56.13212902;8.871929482;0.9415008890000001;0.9330413940000001;0.9372711415000001
144;1440.0;56.132211731000005;8.871864683;1.325998885;1.524598967;1.425298926
145;1450.0;56.132294728999995;8.871800878;1.017691911;1.4090861280000002;1.2133890195
146;1460.0;56.132377991000006;8.871738237;0.81641626;0.962000612;0.889208436
147;1470.0;56.132461446;8.871676531;0.680901438;0.83427454;0.757587989
148;1480.0;56.132544513;8.871616772000001;1.119409169;1.276077699;1.197743434
149;1490.0;56.13262781;8.871558053;1.280014332;1.5418887909999999;1.4109515615
150;1500.0;56.132710967;8.871500972;1.190432305;1.641449109;1.415940707
151;1510.0;56.132795529;8.871444526;0.974129613;1.619736494;1.2969330535
152;1520.0;56.13288024;8.871388745;0.663103336;0.7715392329999999;0.7173212845
153;1530.0;56.132964808000004;8.871333098;0.645413995;0.580344051;0.612879023
154;1540.0;56.133049556;8.871278337;0.596344629;0.7451196520000001;0.6707321405
155;1550.0;56.133134952;8.871224776;0.9584329079999999;1.1996744590000001;1.0790536835
156;1560.0;56.133220916000006;8.871172945;0.8474181740000001;1.012236045;0.9298271095000001
157;1570.0;56.133307045;8.87112224;0.83170397;0.963804234;0.8977541019999999
158;1580.0;56.133392871999995;8.871072619;0.633450898;1.107577772;0.870514335
159;1590.0;56.133478895;8.871024097000001;0.639903306;0.861119561;0.7505114335
160;1600.0;56.133564352;8.870976402;1.387665695;2.578894137;1.9832799159999999
161;1610.0;56.13365095;8.870929257;0.874316474;1.1920096009999999;1.0331630375
162;1620.0;56.133737603;8.870883396;0.8997165659999999;1.11668076;1.008198663
163;1630.0;56.13382346;8.870839089;0.617949662;0.7619587090000001;0.6899541855
164;1640.0;56.133909503999995;8.870795973;0.914759491;0.887226614;0.9009930525000001
165;1650.0;56.133996703;8.87075463;0.6508561070000001;0.766274782;0.7085654445
166;1660.0;56.134084565;8.87071499;1.330561684;2.014140716;1.6723512
167;1670.0;56.134172654;8.870676296000001;0.9318581159999999;1.583148346;1.2575032309999998
168;1680.0;56.134261143;8.870638109;0.80285746;1.507238081;1.1550477705
169;1690.0;56.134348903;8.87060149;0.528378027;0.955330371;0.741854199
170;1700.0;56.134437483;8.870565451000001;0.832670309;1.117709054;0.9751896815000001
171;1710.0;56.134526092;8.870530532;0.541750795;0.741024032;0.6413874135
172;1720.0;56.134614653;8.870496416;0.7975298540000001;0.9210182690000001;0.8592740615000001
173;1730.0;56.134702676;8.870463161;0.697198298;0.6830197920000001;0.690109045
174;1740.0;56.134790785;8.870430637;0.650513543;0.7338982540000001;0.6922058985
175;1750.0;56.134878865;8.870399427999999;0.640130085;0.695381991;0.667756038
176;1760.0;56.134966965;8.87036918;0.54495405;0.631817141;0.5883855954999999
