;distance;latitude;longitude;iri;ppe
1158;11580.0;56.215015615;8.858380276;0.5704420895;0.196075270802315
1159;11590.0;56.215080936999996;8.858268189;0.6561080035;0.196075270802315
1160;11600.0;56.215146037;8.858155687;0.7475706440000001;0.22466891821031001
1161;11610.0;56.215210748000004;8.858042826;0.6983351419999999;0.221035291169485
1162;11620.0;56.215274634;8.857930976;0.8082983515;0.21740166412866
1163;11630.0;56.215339227;8.857817826;0.7611122525;0.209540013781025
1164;11640.0;56.215403961999996;8.857704831;0.618148514;0.209540013781025
1165;11650.0;56.215468535;8.857591536000001;0.7322528180000001;0.20894561751504
1166;11660.0;56.2155322;8.857477697;0.8381324095;0.20894561751504
1167;11670.0;56.215595598;8.857363666;1.002864474;0.215221313094045
1168;11680.0;56.215658758000004;8.857248902;0.8473520025;0.215221313094045
1169;11690.0;56.215721636000005;8.857133572999999;0.9264756585;0.22149700867305
1170;11700.0;56.215784297;8.857017861000001;0.49198869849999993;0.22149700867305
1171;11710.0;56.215846613000004;8.856903594;0.5360556745;0.22149700867305
1172;11720.0;56.215909407;8.856788042;1.122716406;0.22149700867305
1173;11730.0;56.215971615;8.856671387;0.5568437635;
1174;11740.0;56.2160332;8.856553873;0.7466666015;
1175;11750.0;56.216094625;8.856435928;0.9949797100000001;0.26376672207205
1176;11760.0;56.216157073999995;8.856319178;0.7728770405;0.26376672207205
1177;11770.0;56.216219276000004;8.856202002;0.5804695664999999;0.25221961408293
1178;11780.0;56.216280808;8.856083651;0.8068352495000001;0.25221961408293
1179;11790.0;56.216341773;8.855964582999999;0.69640776;0.227348499806675
1180;11800.0;56.216402535;8.855845085;0.5167583665;0.227348499806675
1181;11810.0;56.216462283999995;8.85572677;0.444031173;0.20247738553042002
1182;11820.0;56.21652244;8.855606927;0.563439488;0.20247738553042002
1183;11830.0;56.216582633;8.855487307;0.9858212785;0.20159928866041002
1184;11840.0;56.216642748999995;8.85536789;0.4634142255;0.20159928866041002
1185;11850.0;56.216702605;8.855247827000001;0.5074943005;0.22079293705605998
1186;11860.0;56.216762012;8.855126771;0.5185737145;0.22079293705605998
1187;11870.0;56.21682123;8.855005416000001;0.61981089;0.23998658545171
1188;11880.0;56.216880587;8.854883388;0.797716874;0.23998658545171
1189;11890.0;56.216939823999994;8.854760973;0.793657893;0.270884699078365
1190;11900.0;56.216998028999996;8.854639263;0.6462601459999999;0.270884699078365
1191;11910.0;56.217055946;8.854516345;0.8303583415;0.30178281270502
1192;11920.0;56.217113731000005;8.854393227000001;0.7831960595;0.30178281270502
1193;11930.0;56.217171175;8.854269655;0.6113029855000001;0.35734194034349503
1194;11940.0;56.217228373999994;8.85414594;1.880267913;0.35734194034349503
1195;11950.0;56.217285635;8.854021798;0.6140058475;0.41290106798196996
1196;11960.0;56.217343549;8.853897595;0.71050883;0.41290106798196996
1197;11970.0;56.217401286000005;8.853773126;1.0228334110000001;0.402148431536185
1198;11980.0;56.217458126000004;8.853648167000001;0.8464716365;0.402148431536185
1199;11990.0;56.217514056999995;8.853524399;0.802758963;0.39139579509040007
1200;12000.0;56.21757071;8.853399032999999;0.5472111325;0.39139579509040007
1201;12010.0;56.217627956;8.853273532000001;0.7736238925000001;0.33725882591445
1202;12020.0;56.217684983000005;8.853147689;1.129347963;0.33725882591445
1203;12030.0;56.21774163;8.853021007999999;0.892399745;0.2831218567385
1204;12040.0;56.217798053;8.852894117;0.5667039425;0.2831218567385
1205;12050.0;56.21785421;8.852766797000001;1.226313664;0.19981017458049
1206;12060.0;56.217910058;8.852639401;1.0138559384999999;0.19981017458049
1207;12070.0;56.217965667;8.852511668;0.6727283125;0.22774879338841503
1208;12080.0;56.21802207100001;8.852384125;0.925132989;0.22774879338841503
1209;12090.0;56.218077903;8.852257819;1.1051162015;0.25568741219634
1210;12100.0;56.218133586;8.852130038;1.1624590055;0.25568741219634
1211;12110.0;56.218188073;8.852002564;0.7314586249999999;0.240372245457105
1212;12120.0;56.218242368;8.851874826;0.6019532685;0.240372245457105
1213;12130.0;56.218297504;8.85174553;0.691052243;0.22505707871787
1214;12140.0;56.218352563;8.851615853;0.6561926;0.22505707871787
1215;12150.0;56.218407113999994;8.851486037;0.9399251825;0.25485471518639
1216;12160.0;56.218460941000004;8.85135656;0.526627908;0.25485471518639
1217;12170.0;56.218514537;8.851226753999999;0.4763965555;0.28465235165491
1218;12180.0;56.218566718999995;8.851097236000001;0.8455903375;0.28465235165491
1219;12190.0;56.218619108;8.850966186;0.8711005815;0.250759871383435
1220;12200.0;56.218671778;8.850834691000001;0.5846168855;0.250759871383435
1221;12210.0;56.218724974;8.850703052;0.474804216;0.21686739111196
1222;12220.0;56.218777943999996;8.850571117000001;0.457091381;0.2268796817657725
1223;12230.0;56.218829897;8.850439426;0.9425425315;0.23689197241958498
1224;12240.0;56.218881641;8.850307741;0.625588452;0.25691655372720995
1225;12250.0;56.218933076000006;8.850175644;0.669874282;0.25691655372720995
1226;12260.0;56.21898417;8.850043414;0.7073206615000001;0.300968826675445
1227;12270.0;56.219034566000005;8.849912282;0.8092257939999999;0.300968826675445
1228;12280.0;56.219085668999995;8.849778746;0.8560936275;0.34502109962367994
1229;12290.0;56.219136661;8.849645167;0.682161853;0.34502109962367994
1230;12300.0;56.219187754;8.849511199;1.0735680155;0.36308287606377504
1231;12310.0;56.219238874;8.849377002;0.8694824505000001;0.36308287606377504
1232;12320.0;56.21928974;8.849242495;0.8306001115000001;0.38114465250387
1233;12330.0;56.219340205;8.849107627;0.575593936;0.38114465250387
1234;12340.0;56.219390488;8.848972686;0.9906735604999999;0.2917763262482
1235;12350.0;56.219440888;8.848837755;0.7823458425;0.2917763262482
1236;12360.0;56.21949128399999;8.848702976;0.775734204;0.2917763262482
1237;12370.0;56.219540927;8.848569127000001;0.5480248464999999;0.2917763262482
1238;12380.0;56.219590103;8.84843389;0.8975718635;0.21037465508529
1239;12390.0;56.219639008;8.848298336000001;0.8965996085;0.21037465508529
1240;12400.0;56.219687575;8.848162273;1.038640776;0.21037465508529
1241;12410.0;56.21973591;8.848026108;0.6476677975;0.25083892218576
1242;12420.0;56.21978413;8.84788966;0.5592931074999999;0.29130318928623
1243;12430.0;56.21983205;8.847752837;0.637629768;0.29130318928623
1244;12440.0;56.219879681;8.847615689;0.691363145;0.29130318928623
1245;12450.0;56.21992706;8.847477711;0.786605775;0.22220081395943
1246;12460.0;56.21997369899999;8.847340665;0.6137776724999999;0.22220081395943
1247;12470.0;56.220020596000005;8.847201853;0.645501003;0.22220081395943
1248;12480.0;56.220067786;8.847063508;0.579051462;0.22220081395943
1249;12490.0;56.2201148;8.846924971;1.031143602;0.24587085683835
1250;12500.0;56.220161168000004;8.846786038;0.871749374;0.24587085683835
1251;12510.0;56.220206956000006;8.846646915;0.8617240134999999;0.21595240380513
1252;12520.0;56.220252583000004;8.846507292;0.617412624;0.21595240380513
1253;12530.0;56.220299133999994;8.846367459;0.848248779;0.18603395077190998
1254;12540.0;56.220345503000004;8.846227431;0.6991100745;0.1814354041457425
1255;12550.0;56.220391123;8.846086997999999;0.605077224;0.17683685751957504
1256;12560.0;56.220435778;8.845947846;0.6708562885;0.16763976426724
1257;12570.0;56.22048066;8.845806948;0.6148192495;0.16763976426724
1258;12580.0;56.220525238;8.845665972;0.579212818;0.19475200800129502
1259;12590.0;56.220569481999995;8.845524656;0.6509493689999999;0.19475200800129502
1260;12600.0;56.220613466;8.845382982;0.6601198865;0.22186425173535002
1261;12610.0;56.22065718;8.845241167000001;0.7299743864999999;0.22186425173535002
1262;12620.0;56.220700646000004;8.8450988;0.945752064;0.19521253640579503
1263;12630.0;56.220743903999995;8.844955718;1.170125302;0.19521253640579503
1264;12640.0;56.220786805;8.844812288;0.8828563745;0.16856082107623999
1265;12650.0;56.220829071000004;8.844669928;0.6393845985;0.17751701157573
1266;12660.0;56.220871451;8.844525968;0.8856586690000001;0.18647320207522
1267;12670.0;56.220913381;8.844381611000001;0.6786005884999999;0.20438558307420002
1268;12680.0;56.22095457;8.844237196;0.6833834735;0.20438558307420002
1269;12690.0;56.220995451;8.844092499;0.600661394;0.19636845690472
1270;12700.0;56.221036166000005;8.843948037;0.73713865;0.19636845690472
1271;12710.0;56.221076479;8.843803498;0.5924177075;0.18835133073524
1272;12720.0;56.221116443;8.843658339;0.5344572485;0.18835133073524
