Distance [m];Tid [s];Latitude;Longitude;IRI(1);IRI(17); HÃ¸jde [m]; Geoide hÃ¸jde [m]; DOP; Satellitter; Fixtype; GPStid; Metode; Vcar [rad]
740.000000000; 41.044570000; 56.127282559; 8.878739320; 1.235887111; 1.443747760; 41.599998474; 42.200000763; 0.600000024; 17; 2; 112349.000000000; 0; -0.917267144
750.000000000; 41.443450000; 56.127336918; 8.878613034; 0.921618732; 0.901638145; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112350.000000000; 0; -0.903510749
760.000000000; 41.846230000; 56.127392972; 8.878486383; 0.707832231; 0.654114324; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112350.000000000; 0; -0.896019518
770.000000000; 42.248980000; 56.127449544; 8.878360480; 0.931074222; 0.693382891; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112350.000000000; 0; -0.888735294
780.000000000; 42.651590000; 56.127506267; 8.878235004; 1.300924643; 0.575072328; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112351.000000000; 0; -0.888076663
790.000000000; 43.054280000; 56.127563248; 8.878110129; 1.140427137; 0.888708705; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112351.000000000; 0; -0.881506801
800.000000000; 43.456940000; 56.127620623; 8.877985912; 1.090779178; 0.918776797; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112352.000000000; 0; -0.877530873
810.000000000; 43.859520000; 56.127678061; 8.877862763; 0.946231376; 0.750761513; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112352.000000000; 0; -0.870699763
820.000000000; 44.262030000; 56.127735934; 8.877740267; 0.983391857; 0.916282055; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112352.000000000; 0; -0.864717305
830.000000000; 44.664620000; 56.127794804; 8.877618569; 0.852182954; 0.988860987; 41.400001526; 42.200000763; 0.600000024; 18; 2; 112353.000000000; 0; -0.849228680
840.000000000; 45.066980000; 56.127854452; 8.877497771; 0.955735062; 0.742637952; 41.400001526; 42.200000763; 0.600000024; 18; 2; 112353.000000000; 0; -0.842450857
850.000000000; 45.465520000; 56.127913976; 8.877378746; 0.940245505; 1.063218124; 41.299999237; 42.200000763; 0.600000024; 18; 2; 112354.000000000; 0; -0.838092804
860.000000000; 45.868020000; 56.127974677; 8.877258790; 0.945606584; 1.036314919; 41.299999237; 42.200000763; 0.600000024; 18; 2; 112354.000000000; 0; -0.829314590
870.000000000; 46.270500000; 56.128035959; 8.877139789; 0.740165126; 0.860526034; 41.299999237; 42.200000763; 0.600000024; 18; 2; 112354.000000000; 0; -0.820286393
880.000000000; 46.673090000; 56.128097346; 8.877022337; 0.958935540; 0.985444311; 41.299999237; 42.200000763; 0.600000024; 18; 2; 112355.000000000; 0; -0.813508034
